Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","41.148","46,19%"
"GALICIA","MULLERES","47.931","53,81%"

"A.S. A CORUÑA E CEE","HOMES","9.291","46,31%"
"A.S. A CORUÑA E CEE","MULLERES","10.772","53,69%"
"A.S. FERROL","HOMES","2.919","45,67%"
"A.S. FERROL","MULLERES","3.473","54,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","4.511","46,46%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.198","53,54%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.411","45,57%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","6.463","54,43%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","4.446","46,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","5.171","53,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","6.430","46,99%"
"A.S. SANTIAGO E BARBANZA","MULLERES","7.253","53,01%"
"A.S. VIGO","HOMES","8.140","45,88%"
"A.S. VIGO","MULLERES","9.601","54,12%"
