Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","76.312","47,42%"
"GALICIA","MULLERES","84.623","52,58%"

"A.S. A CORUÑA E CEE","HOMES","17.947","47,47%"
"A.S. A CORUÑA E CEE","MULLERES","19.861","52,53%"
"A.S. FERROL","HOMES","5.029","46,79%"
"A.S. FERROL","MULLERES","5.720","53,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.489","47,46%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.398","52,54%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.654","46,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.777","53,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.747","47,48%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.675","52,52%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.700","47,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.638","52,1%"
"A.S. VIGO","HOMES","16.746","47,44%"
"A.S. VIGO","MULLERES","18.554","52,56%"
