Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","15.668","45,59%"
"GALICIA","MULLERES","18.701","54,41%"

"A.S. A CORUÑA E CEE","HOMES","3.751","46,01%"
"A.S. A CORUÑA E CEE","MULLERES","4.401","53,99%"
"A.S. FERROL","HOMES","873","43,67%"
"A.S. FERROL","MULLERES","1.126","56,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","1.855","44,6%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","2.304","55,4%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","2.685","43,88%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","3.434","56,12%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","1.509","47,05%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","1.698","52,95%"
"A.S. SANTIAGO E BARBANZA","HOMES","2.482","46,72%"
"A.S. SANTIAGO E BARBANZA","MULLERES","2.831","53,28%"
"A.S. VIGO","HOMES","2.513","46,37%"
"A.S. VIGO","MULLERES","2.907","53,63%"
