Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","75.714","47,43%"
"GALICIA","MULLERES","83.931","52,57%"

"A.S. A CORUÑA E CEE","HOMES","17.800","47,47%"
"A.S. A CORUÑA E CEE","MULLERES","19.700","52,53%"
"A.S. FERROL","HOMES","4.977","46,75%"
"A.S. FERROL","MULLERES","5.669","53,25%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.436","47,46%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.339","52,54%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.515","46,94%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.627","53,06%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.696","47,51%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.607","52,49%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.642","47,93%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.561","52,07%"
"A.S. VIGO","HOMES","16.648","47,46%"
"A.S. VIGO","MULLERES","18.428","52,54%"
