Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","172.905","45,23%"
"GALICIA","MULLERES","209.386","54,77%"

"A.S. A CORUÑA E CEE","HOMES","38.384","44,87%"
"A.S. A CORUÑA E CEE","MULLERES","47.165","55,13%"
"A.S. FERROL","HOMES","12.493","44,65%"
"A.S. FERROL","MULLERES","15.488","55,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.625","44,88%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","24.103","55,12%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.843","44,43%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","26.072","55,57%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.450","45,44%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.358","54,56%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.880","45,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.964","54,1%"
"A.S. VIGO","HOMES","39.120","45,9%"
"A.S. VIGO","MULLERES","46.109","54,1%"
"SEN A.S. ASIGNADA","HOMES","110","46,41%"
"SEN A.S. ASIGNADA","MULLERES","127","53,59%"
