Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","164.280","45%"
"GALICIA","MULLERES","200.815","55%"

"A.S. A CORUÑA E CEE","HOMES","36.205","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.735","55,27%"
"A.S. FERROL","HOMES","11.743","44,36%"
"A.S. FERROL","MULLERES","14.731","55,64%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.270","44,34%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.931","55,66%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.818","44,01%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.214","55,99%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.799","45,22%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.771","54,78%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.603","45,63%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.740","54,37%"
"A.S. VIGO","HOMES","37.721","45,84%"
"A.S. VIGO","MULLERES","44.559","54,16%"
"SEN A.S. ASIGNADA","HOMES","121","47,45%"
"SEN A.S. ASIGNADA","MULLERES","134","52,55%"
