Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","170.193","45,15%"
"GALICIA","MULLERES","206.754","54,85%"

"A.S. A CORUÑA E CEE","HOMES","37.644","44,8%"
"A.S. A CORUÑA E CEE","MULLERES","46.388","55,2%"
"A.S. FERROL","HOMES","12.299","44,56%"
"A.S. FERROL","MULLERES","15.301","55,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.156","44,68%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.719","55,32%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.502","44,26%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.820","55,74%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.299","45,4%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.211","54,6%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.441","45,79%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.571","54,21%"
"A.S. VIGO","HOMES","38.737","45,92%"
"A.S. VIGO","MULLERES","45.613","54,08%"
"SEN A.S. ASIGNADA","HOMES","115","46,75%"
"SEN A.S. ASIGNADA","MULLERES","131","53,25%"
