Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","137.032","46,23%"
"GALICIA","MULLERES","159.373","53,77%"

"A.S. A CORUÑA E CEE","HOMES","29.732","46,29%"
"A.S. A CORUÑA E CEE","MULLERES","34.503","53,71%"
"A.S. FERROL","HOMES","8.897","46,1%"
"A.S. FERROL","MULLERES","10.401","53,9%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","14.874","45,57%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","17.763","54,43%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.314","45,33%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","19.679","54,67%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","16.073","46,36%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","18.596","53,64%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.261","46,52%"
"A.S. SANTIAGO E BARBANZA","MULLERES","20.997","53,48%"
"A.S. VIGO","HOMES","32.851","46,76%"
"A.S. VIGO","MULLERES","37.410","53,24%"
"SEN A.S. ASIGNADA","HOMES","30","55,56%"
"SEN A.S. ASIGNADA","MULLERES","24","44,44%"
