Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","48.176","46,36%"
"GALICIA","MULLERES","55.745","53,64%"

"A.S. A CORUÑA E CEE","HOMES","11.486","46,62%"
"A.S. A CORUÑA E CEE","MULLERES","13.151","53,38%"
"A.S. FERROL","HOMES","3.513","45,6%"
"A.S. FERROL","MULLERES","4.191","54,4%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.175","46,43%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.971","53,57%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.974","45,79%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.073","54,21%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.309","46,55%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.097","53,45%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.244","46,98%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.176","53,02%"
"A.S. VIGO","HOMES","9.475","46,08%"
"A.S. VIGO","MULLERES","11.086","53,92%"
