Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","171.184","45,18%"
"GALICIA","MULLERES","207.697","54,82%"

"A.S. A CORUÑA E CEE","HOMES","37.916","44,83%"
"A.S. A CORUÑA E CEE","MULLERES","46.659","55,17%"
"A.S. FERROL","HOMES","12.388","44,62%"
"A.S. FERROL","MULLERES","15.374","55,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.306","44,75%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.838","55,25%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.622","44,3%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.927","55,7%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.364","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.273","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.580","45,8%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.720","54,2%"
"A.S. VIGO","HOMES","38.894","45,94%"
"A.S. VIGO","MULLERES","45.777","54,06%"
"SEN A.S. ASIGNADA","HOMES","114","46,91%"
"SEN A.S. ASIGNADA","MULLERES","129","53,09%"
