Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","51.559","46,52%"
"GALICIA","MULLERES","59.264","53,48%"

"A.S. A CORUÑA E CEE","HOMES","12.271","46,74%"
"A.S. A CORUÑA E CEE","MULLERES","13.981","53,26%"
"A.S. FERROL","HOMES","3.628","45,71%"
"A.S. FERROL","MULLERES","4.309","54,29%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.437","46,64%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.221","53,36%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.267","46,06%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.340","53,94%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.832","46,9%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.603","53,1%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.667","47,06%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.625","52,94%"
"A.S. VIGO","HOMES","10.457","46,18%"
"A.S. VIGO","MULLERES","12.185","53,82%"
