Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","24.823","45,67%"
"GALICIA","MULLERES","29.529","54,33%"

"A.S. A CORUÑA E CEE","HOMES","5.493","46,19%"
"A.S. A CORUÑA E CEE","MULLERES","6.398","53,81%"
"A.S. FERROL","HOMES","1.608","44,58%"
"A.S. FERROL","MULLERES","1.999","55,42%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","2.924","45,81%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","3.459","54,19%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","3.397","44,33%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","4.266","55,67%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","2.708","45,64%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","3.226","54,36%"
"A.S. SANTIAGO E BARBANZA","HOMES","3.754","46,71%"
"A.S. SANTIAGO E BARBANZA","MULLERES","4.282","53,29%"
"A.S. VIGO","HOMES","4.939","45,57%"
"A.S. VIGO","MULLERES","5.899","54,43%"
