Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","47.325","46,32%"
"GALICIA","MULLERES","54.835","53,68%"

"A.S. A CORUÑA E CEE","HOMES","11.187","46,59%"
"A.S. A CORUÑA E CEE","MULLERES","12.824","53,41%"
"A.S. FERROL","HOMES","3.451","45,61%"
"A.S. FERROL","MULLERES","4.116","54,39%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.090","46,27%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.910","53,73%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.920","45,76%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.016","54,24%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.234","46,49%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.025","53,51%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.166","47,02%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.074","52,98%"
"A.S. VIGO","HOMES","9.277","46,05%"
"A.S. VIGO","MULLERES","10.870","53,95%"
