Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.774","44,98%"
"GALICIA","MULLERES","200.310","55,02%"

"A.S. A CORUÑA E CEE","HOMES","36.096","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.597","55,27%"
"A.S. FERROL","HOMES","11.687","44,32%"
"A.S. FERROL","MULLERES","14.680","55,68%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.206","44,34%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.854","55,66%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.749","43,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.177","56,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.759","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.717","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.528","45,61%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.675","54,39%"
"A.S. VIGO","HOMES","37.628","45,83%"
"A.S. VIGO","MULLERES","44.475","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,27%"
"SEN A.S. ASIGNADA","MULLERES","135","52,73%"
