Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","157.352","45,04%"
"GALICIA","MULLERES","191.992","54,96%"

"A.S. A CORUÑA E CEE","HOMES","34.395","44,86%"
"A.S. A CORUÑA E CEE","MULLERES","42.276","55,14%"
"A.S. FERROL","HOMES","10.989","44,45%"
"A.S. FERROL","MULLERES","13.731","55,55%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.383","44,25%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","21.904","55,75%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","18.956","44,03%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.101","55,97%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.110","45,26%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","21.906","54,74%"
"A.S. SANTIAGO E BARBANZA","HOMES","20.797","45,65%"
"A.S. SANTIAGO E BARBANZA","MULLERES","24.756","54,35%"
"A.S. VIGO","HOMES","36.632","45,88%"
"A.S. VIGO","MULLERES","43.219","54,12%"
"SEN A.S. ASIGNADA","HOMES","90","47,62%"
"SEN A.S. ASIGNADA","MULLERES","99","52,38%"
