Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","165.050","45,02%"
"GALICIA","MULLERES","201.604","54,98%"

"A.S. A CORUÑA E CEE","HOMES","36.399","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.965","55,26%"
"A.S. FERROL","HOMES","11.817","44,41%"
"A.S. FERROL","MULLERES","14.794","55,59%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.370","44,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.023","55,62%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.885","44,01%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.296","55,99%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.861","45,24%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.829","54,76%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.742","45,66%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.879","54,34%"
"A.S. VIGO","HOMES","37.855","45,86%"
"A.S. VIGO","MULLERES","44.684","54,14%"
"SEN A.S. ASIGNADA","HOMES","121","47,45%"
"SEN A.S. ASIGNADA","MULLERES","134","52,55%"
