Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","32.228","45,93%"
"GALICIA","MULLERES","37.939","54,07%"

"A.S. A CORUÑA E CEE","HOMES","7.186","46,28%"
"A.S. A CORUÑA E CEE","MULLERES","8.342","53,72%"
"A.S. FERROL","HOMES","2.146","45,36%"
"A.S. FERROL","MULLERES","2.585","54,64%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","3.557","45,71%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","4.225","54,29%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","4.332","45,29%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","5.232","54,71%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","3.409","46,01%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","4.001","53,99%"
"A.S. SANTIAGO E BARBANZA","HOMES","5.152","46,71%"
"A.S. SANTIAGO E BARBANZA","MULLERES","5.878","53,29%"
"A.S. VIGO","HOMES","6.446","45,65%"
"A.S. VIGO","MULLERES","7.676","54,35%"
