Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","167.028","45,07%"
"GALICIA","MULLERES","203.553","54,93%"

"A.S. A CORUÑA E CEE","HOMES","36.844","44,75%"
"A.S. A CORUÑA E CEE","MULLERES","45.482","55,25%"
"A.S. FERROL","HOMES","12.018","44,47%"
"A.S. FERROL","MULLERES","15.009","55,53%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.666","44,52%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.259","55,48%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.192","44,14%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.555","55,86%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.009","45,27%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.978","54,73%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.020","45,72%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.142","54,28%"
"A.S. VIGO","HOMES","38.161","45,89%"
"A.S. VIGO","MULLERES","44.996","54,11%"
"SEN A.S. ASIGNADA","HOMES","118","47,2%"
"SEN A.S. ASIGNADA","MULLERES","132","52,8%"
