Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","167.706","45,09%"
"GALICIA","MULLERES","204.223","54,91%"

"A.S. A CORUÑA E CEE","HOMES","37.078","44,8%"
"A.S. A CORUÑA E CEE","MULLERES","45.691","55,2%"
"A.S. FERROL","HOMES","12.075","44,49%"
"A.S. FERROL","MULLERES","15.065","55,51%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.738","44,55%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.322","55,45%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.252","44,17%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.593","55,83%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.082","45,33%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.017","54,67%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.090","45,7%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.249","54,3%"
"A.S. VIGO","HOMES","38.274","45,88%"
"A.S. VIGO","MULLERES","45.154","54,12%"
"SEN A.S. ASIGNADA","HOMES","117","46,99%"
"SEN A.S. ASIGNADA","MULLERES","132","53,01%"
