Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","172.546","45,21%"
"GALICIA","MULLERES","209.073","54,79%"

"A.S. A CORUÑA E CEE","HOMES","38.290","44,85%"
"A.S. A CORUÑA E CEE","MULLERES","47.080","55,15%"
"A.S. FERROL","HOMES","12.465","44,63%"
"A.S. FERROL","MULLERES","15.465","55,37%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.560","44,85%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","24.054","55,15%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.802","44,4%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","26.046","55,6%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.421","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.339","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.834","45,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.918","54,1%"
"A.S. VIGO","HOMES","39.063","45,9%"
"A.S. VIGO","MULLERES","46.044","54,1%"
"SEN A.S. ASIGNADA","HOMES","111","46,64%"
"SEN A.S. ASIGNADA","MULLERES","127","53,36%"
