Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","169.997","45,14%"
"GALICIA","MULLERES","206.570","54,86%"

"A.S. A CORUÑA E CEE","HOMES","37.589","44,79%"
"A.S. A CORUÑA E CEE","MULLERES","46.331","55,21%"
"A.S. FERROL","HOMES","12.284","44,58%"
"A.S. FERROL","MULLERES","15.274","55,42%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.131","44,66%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.702","55,34%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.474","44,24%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.804","55,76%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.283","45,39%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.199","54,61%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.413","45,78%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.543","54,22%"
"A.S. VIGO","HOMES","38.708","45,92%"
"A.S. VIGO","MULLERES","45.586","54,08%"
"SEN A.S. ASIGNADA","HOMES","115","46,75%"
"SEN A.S. ASIGNADA","MULLERES","131","53,25%"
