Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","49.110","46,41%"
"GALICIA","MULLERES","56.707","53,59%"

"A.S. A CORUÑA E CEE","HOMES","11.739","46,71%"
"A.S. A CORUÑA E CEE","MULLERES","13.394","53,29%"
"A.S. FERROL","HOMES","3.552","45,67%"
"A.S. FERROL","MULLERES","4.225","54,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.252","46,54%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.034","53,46%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.026","45,8%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.131","54,2%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.439","46,69%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.209","53,31%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.373","46,99%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.319","53,01%"
"A.S. VIGO","HOMES","9.729","46,06%"
"A.S. VIGO","MULLERES","11.395","53,94%"
