Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","148.178","45,45%"
"GALICIA","MULLERES","177.815","54,55%"

"A.S. A CORUÑA E CEE","HOMES","32.171","45,41%"
"A.S. A CORUÑA E CEE","MULLERES","38.671","54,59%"
"A.S. FERROL","HOMES","10.147","44,94%"
"A.S. FERROL","MULLERES","12.433","55,06%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","16.267","44,45%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","20.330","55,55%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","17.858","44,5%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","22.273","55,5%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","17.195","45,67%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","20.456","54,33%"
"A.S. SANTIAGO E BARBANZA","HOMES","19.642","46,11%"
"A.S. SANTIAGO E BARBANZA","MULLERES","22.959","53,89%"
"A.S. VIGO","HOMES","34.838","46,16%"
"A.S. VIGO","MULLERES","40.637","53,84%"
"SEN A.S. ASIGNADA","HOMES","60","51,72%"
"SEN A.S. ASIGNADA","MULLERES","56","48,28%"
