Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","36.938","46,14%"
"GALICIA","MULLERES","43.117","53,86%"

"A.S. A CORUÑA E CEE","HOMES","8.363","46,39%"
"A.S. A CORUÑA E CEE","MULLERES","9.666","53,61%"
"A.S. FERROL","HOMES","2.557","45,72%"
"A.S. FERROL","MULLERES","3.036","54,28%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","4.023","45,98%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","4.727","54,02%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","4.944","45,62%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","5.894","54,38%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","3.892","46,17%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","4.538","53,83%"
"A.S. SANTIAGO E BARBANZA","HOMES","5.809","46,96%"
"A.S. SANTIAGO E BARBANZA","MULLERES","6.561","53,04%"
"A.S. VIGO","HOMES","7.350","45,81%"
"A.S. VIGO","MULLERES","8.695","54,19%"
