Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","160.234","44,98%"
"GALICIA","MULLERES","196.037","55,02%"

"A.S. A CORUÑA E CEE","HOMES","35.098","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","43.349","55,26%"
"A.S. FERROL","HOMES","11.288","44,31%"
"A.S. FERROL","MULLERES","14.187","55,69%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.790","44,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.402","55,74%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.355","43,93%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.705","56,07%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.395","45,21%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.296","54,79%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.122","45,63%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.163","54,37%"
"A.S. VIGO","HOMES","37.067","45,83%"
"A.S. VIGO","MULLERES","43.804","54,17%"
"SEN A.S. ASIGNADA","HOMES","119","47,6%"
"SEN A.S. ASIGNADA","MULLERES","131","52,4%"
