Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","76.411","47,41%"
"GALICIA","MULLERES","84.756","52,59%"

"A.S. A CORUÑA E CEE","HOMES","17.960","47,45%"
"A.S. A CORUÑA E CEE","MULLERES","19.893","52,55%"
"A.S. FERROL","HOMES","5.034","46,77%"
"A.S. FERROL","MULLERES","5.729","53,23%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.498","47,45%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.413","52,55%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.673","46,98%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.790","53,02%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.754","47,47%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.688","52,53%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.710","47,91%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.646","52,09%"
"A.S. VIGO","HOMES","16.782","47,43%"
"A.S. VIGO","MULLERES","18.597","52,57%"
