Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","54.100","46,7%"
"GALICIA","MULLERES","61.747","53,3%"

"A.S. A CORUÑA E CEE","HOMES","12.847","46,95%"
"A.S. A CORUÑA E CEE","MULLERES","14.516","53,05%"
"A.S. FERROL","HOMES","3.741","45,69%"
"A.S. FERROL","MULLERES","4.446","54,31%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.734","46,76%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.529","53,24%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.481","46,18%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.552","53,82%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","6.145","47,19%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.877","52,81%"
"A.S. SANTIAGO E BARBANZA","HOMES","8.036","47,24%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.976","52,76%"
"A.S. VIGO","HOMES","11.116","46,38%"
"A.S. VIGO","MULLERES","12.851","53,62%"
