Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","49.938","46,44%"
"GALICIA","MULLERES","57.593","53,56%"

"A.S. A CORUÑA E CEE","HOMES","11.924","46,72%"
"A.S. A CORUÑA E CEE","MULLERES","13.600","53,28%"
"A.S. FERROL","HOMES","3.585","45,7%"
"A.S. FERROL","MULLERES","4.259","54,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.324","46,62%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.097","53,38%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.102","45,82%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.215","54,18%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.573","46,78%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.340","53,22%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.472","46,95%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.443","53,05%"
"A.S. VIGO","HOMES","9.958","46,11%"
"A.S. VIGO","MULLERES","11.639","53,89%"
