Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","170.925","45,17%"
"GALICIA","MULLERES","207.441","54,83%"

"A.S. A CORUÑA E CEE","HOMES","37.867","44,83%"
"A.S. A CORUÑA E CEE","MULLERES","46.597","55,17%"
"A.S. FERROL","HOMES","12.361","44,59%"
"A.S. FERROL","MULLERES","15.362","55,41%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.262","44,72%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.806","55,28%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.571","44,28%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.886","55,72%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.353","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.253","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.534","45,8%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.672","54,2%"
"A.S. VIGO","HOMES","38.862","45,94%"
"A.S. VIGO","MULLERES","45.737","54,06%"
"SEN A.S. ASIGNADA","HOMES","115","47,33%"
"SEN A.S. ASIGNADA","MULLERES","128","52,67%"
