Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","170.940","45,17%"
"GALICIA","MULLERES","207.465","54,83%"

"A.S. A CORUÑA E CEE","HOMES","37.867","44,83%"
"A.S. A CORUÑA E CEE","MULLERES","46.603","55,17%"
"A.S. FERROL","HOMES","12.367","44,59%"
"A.S. FERROL","MULLERES","15.366","55,41%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.261","44,72%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.813","55,28%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.575","44,28%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.888","55,72%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.351","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.255","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.538","45,8%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.673","54,2%"
"A.S. VIGO","HOMES","38.866","45,94%"
"A.S. VIGO","MULLERES","45.739","54,06%"
"SEN A.S. ASIGNADA","HOMES","115","47,33%"
"SEN A.S. ASIGNADA","MULLERES","128","52,67%"
