Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.354","44,98%"
"GALICIA","MULLERES","199.831","55,02%"

"A.S. A CORUÑA E CEE","HOMES","35.975","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.456","55,27%"
"A.S. FERROL","HOMES","11.640","44,3%"
"A.S. FERROL","MULLERES","14.635","55,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.162","44,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.810","55,67%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.712","43,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.134","56,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.712","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.662","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.474","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.598","54,38%"
"A.S. VIGO","HOMES","37.556","45,82%"
"A.S. VIGO","MULLERES","44.401","54,18%"
"SEN A.S. ASIGNADA","HOMES","123","47,67%"
"SEN A.S. ASIGNADA","MULLERES","135","52,33%"
