Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","171.674","45,2%"
"GALICIA","MULLERES","208.165","54,8%"

"A.S. A CORUÑA E CEE","HOMES","38.075","44,85%"
"A.S. A CORUÑA E CEE","MULLERES","46.824","55,15%"
"A.S. FERROL","HOMES","12.417","44,63%"
"A.S. FERROL","MULLERES","15.404","55,37%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.377","44,78%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.895","55,22%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.692","44,35%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.963","55,65%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.364","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.272","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.677","45,84%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.788","54,16%"
"A.S. VIGO","HOMES","38.961","45,92%"
"A.S. VIGO","MULLERES","45.890","54,08%"
"SEN A.S. ASIGNADA","HOMES","111","46,25%"
"SEN A.S. ASIGNADA","MULLERES","129","53,75%"
