Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.668","44,98%"
"GALICIA","MULLERES","200.189","55,02%"

"A.S. A CORUÑA E CEE","HOMES","36.058","44,72%"
"A.S. A CORUÑA E CEE","MULLERES","44.568","55,28%"
"A.S. FERROL","HOMES","11.682","44,33%"
"A.S. FERROL","MULLERES","14.673","55,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.198","44,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.832","55,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.740","43,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.167","56,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.746","45,22%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.705","54,78%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.515","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.649","54,38%"
"A.S. VIGO","HOMES","37.608","45,83%"
"A.S. VIGO","MULLERES","44.460","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,27%"
"SEN A.S. ASIGNADA","MULLERES","135","52,73%"
