Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","53.638","46,66%"
"GALICIA","MULLERES","61.322","53,34%"

"A.S. A CORUÑA E CEE","HOMES","12.703","46,87%"
"A.S. A CORUÑA E CEE","MULLERES","14.398","53,13%"
"A.S. FERROL","HOMES","3.735","45,72%"
"A.S. FERROL","MULLERES","4.435","54,28%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.674","46,74%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.465","53,26%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.447","46,17%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.516","53,83%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","6.071","47,11%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.817","52,89%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.987","47,22%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.929","52,78%"
"A.S. VIGO","HOMES","11.021","46,34%"
"A.S. VIGO","MULLERES","12.762","53,66%"
