Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","134.642","46,35%"
"GALICIA","MULLERES","155.840","53,65%"

"A.S. A CORUÑA E CEE","HOMES","29.254","46,42%"
"A.S. A CORUÑA E CEE","MULLERES","33.760","53,58%"
"A.S. FERROL","HOMES","8.715","46,27%"
"A.S. FERROL","MULLERES","10.119","53,73%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","14.566","45,77%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","17.257","54,23%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","15.886","45,51%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","19.021","54,49%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","15.845","46,48%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","18.245","53,52%"
"A.S. SANTIAGO E BARBANZA","HOMES","17.917","46,51%"
"A.S. SANTIAGO E BARBANZA","MULLERES","20.604","53,49%"
"A.S. VIGO","HOMES","32.435","46,84%"
"A.S. VIGO","MULLERES","36.811","53,16%"
"SEN A.S. ASIGNADA","HOMES","24","51,06%"
"SEN A.S. ASIGNADA","MULLERES","23","48,94%"
