Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","139.189","46,11%"
"GALICIA","MULLERES","162.704","53,89%"

"A.S. A CORUÑA E CEE","HOMES","30.222","46,13%"
"A.S. A CORUÑA E CEE","MULLERES","35.299","53,87%"
"A.S. FERROL","HOMES","9.150","45,93%"
"A.S. FERROL","MULLERES","10.771","54,07%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","15.141","45,48%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","18.153","54,52%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.589","45,14%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","20.163","54,86%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","16.289","46,22%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","18.955","53,78%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.529","46,47%"
"A.S. SANTIAGO E BARBANZA","MULLERES","21.342","53,53%"
"A.S. VIGO","HOMES","33.238","46,66%"
"A.S. VIGO","MULLERES","37.995","53,34%"
"SEN A.S. ASIGNADA","HOMES","31","54,39%"
"SEN A.S. ASIGNADA","MULLERES","26","45,61%"
