Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"GALICIA","0-9","0","0%"
"GALICIA","10-19","0","0%"
"GALICIA","20-29","0","0%"
"GALICIA","30-39","0","0%"
"GALICIA","40-49","1","0,33%"
"GALICIA","50-59","7","2,3%"
"GALICIA","60-69","24","7,87%"
"GALICIA","70-79","49","16,07%"
"GALICIA","80-89","139","45,57%"
"GALICIA",">=90","85","27,87%"

"A.S. A CORUÑA E CEE","0-9","0","0%"
"A.S. A CORUÑA E CEE","10-19","0","0%"
"A.S. A CORUÑA E CEE","20-29","0","0%"
"A.S. A CORUÑA E CEE","30-39","0","0%"
"A.S. A CORUÑA E CEE","40-49","0","0%"
"A.S. A CORUÑA E CEE","50-59","1","1,82%"
"A.S. A CORUÑA E CEE","60-69","5","9,09%"
"A.S. A CORUÑA E CEE","70-79","8","14,55%"
"A.S. A CORUÑA E CEE","80-89","24","43,64%"
"A.S. A CORUÑA E CEE",">=90","17","30,91%"
"A.S. FERROL","0-9","0","0%"
"A.S. FERROL","10-19","0","0%"
"A.S. FERROL","20-29","0","0%"
"A.S. FERROL","30-39","0","0%"
"A.S. FERROL","40-49","0","0%"
"A.S. FERROL","50-59","0","0%"
"A.S. FERROL","70-79","4","33,33%"
"A.S. FERROL","80-89","4","33,33%"
"A.S. FERROL",">=90","4","33,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","50-59","0","0%"
"A.S. LUGO, A MARIÑA E MONFORTE","70-79","2","28,57%"
"A.S. LUGO, A MARIÑA E MONFORTE","80-89","2","28,57%"
"A.S. LUGO, A MARIÑA E MONFORTE",">=90","3","42,86%"
"A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","50-59","0","0%"
"A.S. OURENSE, VERÍN E O BARCO","70-79","1","11,11%"
"A.S. OURENSE, VERÍN E O BARCO","80-89","5","55,56%"
"A.S. OURENSE, VERÍN E O BARCO",">=90","3","33,33%"
"A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"A.S. PONTEVEDRA E O SALNÉS","50-59","1","8,33%"
"A.S. PONTEVEDRA E O SALNÉS","70-79","4","33,33%"
"A.S. PONTEVEDRA E O SALNÉS","80-89","3","25%"
"A.S. PONTEVEDRA E O SALNÉS",">=90","4","33,33%"
"A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"A.S. SANTIAGO E BARBANZA","30-39","0","0%"
"A.S. SANTIAGO E BARBANZA","40-49","0","0%"
"A.S. SANTIAGO E BARBANZA","50-59","0","0%"
"A.S. SANTIAGO E BARBANZA","60-69","1","4,55%"
"A.S. SANTIAGO E BARBANZA","70-79","1","4,55%"
"A.S. SANTIAGO E BARBANZA","80-89","13","59,09%"
"A.S. SANTIAGO E BARBANZA",">=90","7","31,82%"
"A.S. VIGO","0-9","0","0%"
"A.S. VIGO","10-19","0","0%"
"A.S. VIGO","20-29","0","0%"
"A.S. VIGO","30-39","0","0%"
"A.S. VIGO","40-49","1","0,53%"
"A.S. VIGO","50-59","5","2,66%"
"A.S. VIGO","60-69","18","9,57%"
"A.S. VIGO","70-79","29","15,43%"
"A.S. VIGO","80-89","88","46,81%"
"A.S. VIGO",">=90","47","25%"
