Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","169.823","45,14%"
"GALICIA","MULLERES","206.400","54,86%"

"A.S. A CORUÑA E CEE","HOMES","37.544","44,79%"
"A.S. A CORUÑA E CEE","MULLERES","46.277","55,21%"
"A.S. FERROL","HOMES","12.265","44,56%"
"A.S. FERROL","MULLERES","15.262","55,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.110","44,66%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.677","55,34%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.456","44,24%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.786","55,76%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.262","45,38%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.183","54,62%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.398","45,78%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.529","54,22%"
"A.S. VIGO","HOMES","38.673","45,91%"
"A.S. VIGO","MULLERES","45.555","54,09%"
"SEN A.S. ASIGNADA","HOMES","115","46,75%"
"SEN A.S. ASIGNADA","MULLERES","131","53,25%"
