Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","168.046","45,1%"
"GALICIA","MULLERES","204.573","54,9%"

"A.S. A CORUÑA E CEE","HOMES","37.148","44,78%"
"A.S. A CORUÑA E CEE","MULLERES","45.805","55,22%"
"A.S. FERROL","HOMES","12.101","44,5%"
"A.S. FERROL","MULLERES","15.090","55,5%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.773","44,55%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.369","55,45%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.290","44,17%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.641","55,83%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.125","45,36%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.037","54,64%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.152","45,73%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.289","54,27%"
"A.S. VIGO","HOMES","38.340","45,89%"
"A.S. VIGO","MULLERES","45.211","54,11%"
"SEN A.S. ASIGNADA","HOMES","117","47,18%"
"SEN A.S. ASIGNADA","MULLERES","131","52,82%"
