Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","171.177","45,18%"
"GALICIA","MULLERES","207.693","54,82%"

"A.S. A CORUÑA E CEE","HOMES","37.915","44,83%"
"A.S. A CORUÑA E CEE","MULLERES","46.657","55,17%"
"A.S. FERROL","HOMES","12.387","44,62%"
"A.S. FERROL","MULLERES","15.375","55,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.305","44,75%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.837","55,25%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.619","44,3%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.925","55,7%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.364","45,41%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.274","54,59%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.579","45,8%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.721","54,2%"
"A.S. VIGO","HOMES","38.894","45,94%"
"A.S. VIGO","MULLERES","45.775","54,06%"
"SEN A.S. ASIGNADA","HOMES","114","46,91%"
"SEN A.S. ASIGNADA","MULLERES","129","53,09%"
