Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","149.401","45,41%"
"GALICIA","MULLERES","179.633","54,59%"

"A.S. A CORUÑA E CEE","HOMES","32.471","45,37%"
"A.S. A CORUÑA E CEE","MULLERES","39.099","54,63%"
"A.S. FERROL","HOMES","10.271","44,88%"
"A.S. FERROL","MULLERES","12.612","55,12%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","16.422","44,4%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","20.565","55,6%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","18.002","44,46%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","22.492","55,54%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","17.296","45,59%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","20.644","54,41%"
"A.S. SANTIAGO E BARBANZA","HOMES","19.802","46,08%"
"A.S. SANTIAGO E BARBANZA","MULLERES","23.173","53,92%"
"A.S. VIGO","HOMES","35.074","46,11%"
"A.S. VIGO","MULLERES","40.987","53,89%"
"SEN A.S. ASIGNADA","HOMES","63","50,81%"
"SEN A.S. ASIGNADA","MULLERES","61","49,19%"
