Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","161.689","44,97%"
"GALICIA","MULLERES","197.868","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.504","44,72%"
"A.S. A CORUÑA E CEE","MULLERES","43.882","55,28%"
"A.S. FERROL","HOMES","11.451","44,3%"
"A.S. FERROL","MULLERES","14.399","55,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.953","44,29%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.582","55,71%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.565","43,94%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.958","56,06%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.549","45,19%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.496","54,81%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.282","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.368","54,38%"
"A.S. VIGO","HOMES","37.261","45,82%"
"A.S. VIGO","MULLERES","44.051","54,18%"
"SEN A.S. ASIGNADA","HOMES","124","48,44%"
"SEN A.S. ASIGNADA","MULLERES","132","51,56%"
