Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","75.228","47,43%"
"GALICIA","MULLERES","83.374","52,57%"

"A.S. A CORUÑA E CEE","HOMES","17.703","47,51%"
"A.S. A CORUÑA E CEE","MULLERES","19.560","52,49%"
"A.S. FERROL","HOMES","4.963","46,72%"
"A.S. FERROL","MULLERES","5.659","53,28%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.341","47,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.241","52,56%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.438","46,97%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.525","53,03%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.681","47,56%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.571","52,44%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.579","47,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.507","52,1%"
"A.S. VIGO","HOMES","16.523","47,43%"
"A.S. VIGO","MULLERES","18.311","52,57%"
