Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","161.394","44,97%"
"GALICIA","MULLERES","197.493","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.430","44,72%"
"A.S. A CORUÑA E CEE","MULLERES","43.789","55,28%"
"A.S. FERROL","HOMES","11.423","44,3%"
"A.S. FERROL","MULLERES","14.365","55,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.918","44,28%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.545","55,72%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.518","43,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.886","56,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.517","45,2%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.454","54,8%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.248","45,61%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.337","54,39%"
"A.S. VIGO","HOMES","37.215","45,83%"
"A.S. VIGO","MULLERES","43.985","54,17%"
"SEN A.S. ASIGNADA","HOMES","125","48,64%"
"SEN A.S. ASIGNADA","MULLERES","132","51,36%"
