Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","20.207","45,74%"
"GALICIA","MULLERES","23.969","54,26%"

"A.S. A CORUÑA E CEE","HOMES","4.689","46,26%"
"A.S. A CORUÑA E CEE","MULLERES","5.448","53,74%"
"A.S. FERROL","HOMES","1.211","44,04%"
"A.S. FERROL","MULLERES","1.539","55,96%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","2.445","45,98%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","2.872","54,02%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","3.060","44,3%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","3.848","55,7%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","2.078","46,58%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","2.383","53,42%"
"A.S. SANTIAGO E BARBANZA","HOMES","2.992","46,46%"
"A.S. SANTIAGO E BARBANZA","MULLERES","3.448","53,54%"
"A.S. VIGO","HOMES","3.732","45,72%"
"A.S. VIGO","MULLERES","4.431","54,28%"
