Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","160.847","44,97%"
"GALICIA","MULLERES","196.820","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.284","44,72%"
"A.S. A CORUÑA E CEE","MULLERES","43.615","55,28%"
"A.S. FERROL","HOMES","11.351","44,3%"
"A.S. FERROL","MULLERES","14.273","55,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.855","44,27%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.479","55,73%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.444","43,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.791","56,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.460","45,19%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.388","54,81%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.192","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.261","54,38%"
"A.S. VIGO","HOMES","37.139","45,84%"
"A.S. VIGO","MULLERES","43.882","54,16%"
"SEN A.S. ASIGNADA","HOMES","122","48,22%"
"SEN A.S. ASIGNADA","MULLERES","131","51,78%"
