Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","48.543","46,38%"
"GALICIA","MULLERES","56.126","53,62%"

"A.S. A CORUÑA E CEE","HOMES","11.607","46,67%"
"A.S. A CORUÑA E CEE","MULLERES","13.266","53,33%"
"A.S. FERROL","HOMES","3.538","45,68%"
"A.S. FERROL","MULLERES","4.207","54,32%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.212","46,5%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.996","53,5%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.982","45,75%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.094","54,25%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.348","46,61%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.125","53,39%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.284","46,98%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.220","53,02%"
"A.S. VIGO","HOMES","9.572","46,04%"
"A.S. VIGO","MULLERES","11.218","53,96%"
