Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","164.613","45,01%"
"GALICIA","MULLERES","201.146","54,99%"

"A.S. A CORUÑA E CEE","HOMES","36.280","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.823","55,27%"
"A.S. FERROL","HOMES","11.783","44,39%"
"A.S. FERROL","MULLERES","14.762","55,61%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.320","44,36%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.980","55,64%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.841","44,01%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.246","55,99%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.828","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.799","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.666","45,65%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.800","54,35%"
"A.S. VIGO","HOMES","37.774","45,86%"
"A.S. VIGO","MULLERES","44.602","54,14%"
"SEN A.S. ASIGNADA","HOMES","121","47,45%"
"SEN A.S. ASIGNADA","MULLERES","134","52,55%"
