Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","53.676","46,66%"
"GALICIA","MULLERES","61.359","53,34%"

"A.S. A CORUÑA E CEE","HOMES","12.725","46,88%"
"A.S. A CORUÑA E CEE","MULLERES","14.417","53,12%"
"A.S. FERROL","HOMES","3.735","45,71%"
"A.S. FERROL","MULLERES","4.436","54,29%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.680","46,76%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.466","53,24%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.450","46,16%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.522","53,84%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","6.074","47,11%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.820","52,89%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.988","47,21%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.931","52,79%"
"A.S. VIGO","HOMES","11.024","46,34%"
"A.S. VIGO","MULLERES","12.767","53,66%"
