Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","66.381","47,31%"
"GALICIA","MULLERES","73.942","52,69%"

"A.S. A CORUÑA E CEE","HOMES","15.248","47,39%"
"A.S. A CORUÑA E CEE","MULLERES","16.927","52,61%"
"A.S. FERROL","HOMES","4.361","46,33%"
"A.S. FERROL","MULLERES","5.051","53,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","7.065","47,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","7.829","52,56%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","7.762","46,83%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","8.812","53,17%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","7.969","47,57%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","8.783","52,43%"
"A.S. SANTIAGO E BARBANZA","HOMES","9.455","47,65%"
"A.S. SANTIAGO E BARBANZA","MULLERES","10.388","52,35%"
"A.S. VIGO","HOMES","14.521","47,34%"
"A.S. VIGO","MULLERES","16.152","52,66%"
