Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","74.930","47,43%"
"GALICIA","MULLERES","83.054","52,57%"

"A.S. A CORUÑA E CEE","HOMES","17.627","47,5%"
"A.S. A CORUÑA E CEE","MULLERES","19.481","52,5%"
"A.S. FERROL","HOMES","4.959","46,72%"
"A.S. FERROL","MULLERES","5.656","53,28%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.279","47,45%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.169","52,55%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.410","46,98%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.493","53,02%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.661","47,57%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.547","52,43%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.538","47,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.462","52,1%"
"A.S. VIGO","HOMES","16.456","47,42%"
"A.S. VIGO","MULLERES","18.246","52,58%"
