Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","140.502","45,99%"
"GALICIA","MULLERES","164.992","54,01%"

"A.S. A CORUÑA E CEE","HOMES","30.482","46%"
"A.S. A CORUÑA E CEE","MULLERES","35.785","54%"
"A.S. FERROL","HOMES","9.315","45,77%"
"A.S. FERROL","MULLERES","11.035","54,23%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","15.303","45,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","18.440","54,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.770","44,98%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","20.513","55,02%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","16.404","46,1%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","19.177","53,9%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.666","46,4%"
"A.S. SANTIAGO E BARBANZA","MULLERES","21.564","53,6%"
"A.S. VIGO","HOMES","33.522","46,58%"
"A.S. VIGO","MULLERES","38.449","53,42%"
"SEN A.S. ASIGNADA","HOMES","40","57,97%"
"SEN A.S. ASIGNADA","MULLERES","29","42,03%"
