Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","53.370","46,64%"
"GALICIA","MULLERES","61.061","53,36%"

"A.S. A CORUÑA E CEE","HOMES","12.610","46,86%"
"A.S. A CORUÑA E CEE","MULLERES","14.302","53,14%"
"A.S. FERROL","HOMES","3.716","45,74%"
"A.S. FERROL","MULLERES","4.408","54,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.641","46,74%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.427","53,26%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.412","46,15%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.481","53,85%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","6.049","47,09%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.796","52,91%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.957","47,16%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.917","52,84%"
"A.S. VIGO","HOMES","10.985","46,32%"
"A.S. VIGO","MULLERES","12.730","53,68%"
