Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","77.587","47,43%"
"GALICIA","MULLERES","86.007","52,57%"

"A.S. A CORUÑA E CEE","HOMES","18.111","47,46%"
"A.S. A CORUÑA E CEE","MULLERES","20.051","52,54%"
"A.S. FERROL","HOMES","5.104","46,83%"
"A.S. FERROL","MULLERES","5.794","53,17%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.624","47,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.554","52,56%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.960","47,01%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","10.100","52,99%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.858","47,46%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.806","52,54%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.829","47,98%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.742","52,02%"
"A.S. VIGO","HOMES","17.101","47,42%"
"A.S. VIGO","MULLERES","18.960","52,58%"
