Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","74.673","47,44%"
"GALICIA","MULLERES","82.745","52,56%"

"A.S. A CORUÑA E CEE","HOMES","17.561","47,53%"
"A.S. A CORUÑA E CEE","MULLERES","19.387","52,47%"
"A.S. FERROL","HOMES","4.953","46,7%"
"A.S. FERROL","MULLERES","5.652","53,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.227","47,41%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.126","52,59%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.378","46,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.466","53,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.644","47,58%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.525","52,42%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.501","47,92%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.411","52,08%"
"A.S. VIGO","HOMES","16.409","47,44%"
"A.S. VIGO","MULLERES","18.178","52,56%"
