Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","75.896","47,42%"
"GALICIA","MULLERES","84.143","52,58%"

"A.S. A CORUÑA E CEE","HOMES","17.844","47,47%"
"A.S. A CORUÑA E CEE","MULLERES","19.747","52,53%"
"A.S. FERROL","HOMES","4.992","46,78%"
"A.S. FERROL","MULLERES","5.679","53,22%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.449","47,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.359","52,56%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.551","46,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.660","53,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.719","47,5%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.635","52,5%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.661","47,91%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.593","52,09%"
"A.S. VIGO","HOMES","16.680","47,45%"
"A.S. VIGO","MULLERES","18.470","52,55%"
