Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.384","44,98%"
"GALICIA","MULLERES","199.865","55,02%"

"A.S. A CORUÑA E CEE","HOMES","35.983","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.461","55,27%"
"A.S. FERROL","HOMES","11.649","44,31%"
"A.S. FERROL","MULLERES","14.642","55,69%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.168","44,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.813","55,67%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.712","43,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.135","56,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.713","45,22%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.665","54,78%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.471","45,61%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.605","54,39%"
"A.S. VIGO","HOMES","37.566","45,83%"
"A.S. VIGO","MULLERES","44.409","54,17%"
"SEN A.S. ASIGNADA","HOMES","122","47,47%"
"SEN A.S. ASIGNADA","MULLERES","135","52,53%"
