Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","172.706","45,22%"
"GALICIA","MULLERES","209.228","54,78%"

"A.S. A CORUÑA E CEE","HOMES","38.331","44,86%"
"A.S. A CORUÑA E CEE","MULLERES","47.119","55,14%"
"A.S. FERROL","HOMES","12.476","44,64%"
"A.S. FERROL","MULLERES","15.475","55,36%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.590","44,86%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","24.075","55,14%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.821","44,41%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","26.059","55,59%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.431","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.347","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.858","45,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.942","54,1%"
"A.S. VIGO","HOMES","39.089","45,89%"
"A.S. VIGO","MULLERES","46.084","54,11%"
"SEN A.S. ASIGNADA","HOMES","110","46,41%"
"SEN A.S. ASIGNADA","MULLERES","127","53,59%"
