Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","17.123","45,71%"
"GALICIA","MULLERES","20.334","54,29%"

"A.S. A CORUÑA E CEE","HOMES","4.018","46,08%"
"A.S. A CORUÑA E CEE","MULLERES","4.702","53,92%"
"A.S. FERROL","HOMES","1.020","43,95%"
"A.S. FERROL","MULLERES","1.301","56,05%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","2.020","45,08%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","2.461","54,92%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","2.813","44,03%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","3.576","55,97%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","1.701","46,85%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","1.930","53,15%"
"A.S. SANTIAGO E BARBANZA","HOMES","2.630","46,57%"
"A.S. SANTIAGO E BARBANZA","MULLERES","3.018","53,43%"
"A.S. VIGO","HOMES","2.921","46,61%"
"A.S. VIGO","MULLERES","3.346","53,39%"
