Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","164.090","44,99%"
"GALICIA","MULLERES","200.610","55,01%"

"A.S. A CORUÑA E CEE","HOMES","36.169","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.680","55,26%"
"A.S. FERROL","HOMES","11.717","44,33%"
"A.S. FERROL","MULLERES","14.715","55,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.239","44,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.890","55,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.799","44%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.201","56%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.789","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.748","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.578","45,63%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.714","54,37%"
"A.S. VIGO","HOMES","37.678","45,83%"
"A.S. VIGO","MULLERES","44.527","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,27%"
"SEN A.S. ASIGNADA","MULLERES","135","52,73%"
