Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","159.604","44,99%"
"GALICIA","MULLERES","195.180","55,01%"

"A.S. A CORUÑA E CEE","HOMES","34.935","44,76%"
"A.S. A CORUÑA E CEE","MULLERES","43.113","55,24%"
"A.S. FERROL","HOMES","11.229","44,34%"
"A.S. FERROL","MULLERES","14.097","55,66%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.709","44,25%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.311","55,75%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.263","43,93%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.583","56,07%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.328","45,21%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.211","54,79%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.053","45,64%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.071","54,36%"
"A.S. VIGO","HOMES","36.970","45,85%"
"A.S. VIGO","MULLERES","43.665","54,15%"
"SEN A.S. ASIGNADA","HOMES","117","47,56%"
"SEN A.S. ASIGNADA","MULLERES","129","52,44%"
